DeputyID,x,y,z,Party,majorPartiesColorMap,alternativeColorMap,Name,State,numVotes
160615,-11.09635915,1.470021377,0.5619424886,PSDB,#1f77b4,#e8105f,Reinaldo Azambuja,MS,428
160613,9.56261702,4.500660183,0.9555599029,PT,#d62728,#c8f442,Sibá Machado,AC,428
160611,2.946801213,-5.097279084,-1.031196006,PP,#008000,#008000,Toninho Pinheiro,MG,428
74262,-8.337997123,3.805475377,-0.6970311116,PSDB,#1f77b4,#e8105f,Carlos Sampaio,SP,428
74264,8.060601338,3.397696422,0.6398826684,PT,#d62728,#c8f442,Devanir Ribeiro,SP,428
141398,8.468686696,2.216378659,0.1027324504,PT,#d62728,#c8f442,Carlos Zarattini,SP,428
141391,-7.854805295,2.68217475,-0.4770802278,PPS,#666666,#666666,Arnaldo Jardim,SP,428
141396,4.807273036,1.726199352,-2.436004522,PT,#d62728,#c8f442,Cândido Vaccarezza,SP,428
141394,-9.904437298,0.9362825099,0.3736494546,PSDB,#1f77b4,#e8105f,Bruno Araújo,PE,428
73781,5.572107793,-3.015172874,-0.7980835544,PP,#008000,#008000,Nelson Meurer,PR,428
73666,0.3967888748,-1.286880114,-2.249150687,PTB,#9467bd,#154bed,Jovair Arantes,GO,428
160579,0.06066092444,-0.6654067974,2.259957073,PSB,#90ee90,#90ee90,Alexandre Roso,RS,428
160573,3.062839339,-4.421519959,-1.941034541,PMDB,#393b79,#393b79,João Arruda,PR,428
160572,3.105052401,-4.825638261,0.4804401993,PTB,#9467bd,#154bed,Jorge Côrte Real,PE,428
160570,1.415626873,-3.121285574,-3.100747672,PP,#008000,#008000,Jerônimo Goergen,RS,428
160576,-1.784076754,-2.543659529,-0.2387743431,PRB,#aaaaaa,#ff5656,César Halum,TO,428
160575,8.815798241,4.820951923,2.7416644,PT,#d62728,#c8f442,Erika Kokay,DF,428
160574,6.195814185,2.610695085,1.670533973,PCDOB,#a52121,#a35c3c,João Ananias,CE,428
74317,-2.584542414,-4.627397437,1.843305133,PSD,#660000,#660000,Júlio Cesar,PI,428
154919,-6.7308468,-2.28955893,2.895961363,PSD,#660000,#660000,Eleuses Paiva,SP,428
141419,6.442571048,4.000640262,0.178940961,PT,#d62728,#c8f442,Edson Santos,RJ,428
141417,3.48838204,-5.305026072,-1.645194803,PMDB,#393b79,#393b79,Edio Lopes,RR,428
141413,6.572672808,3.912191557,1.306648487,PT,#d62728,#c8f442,Décio Lima,SC,428
141412,1.989060026,-2.020974831,2.720704918,PR,#ffbb78,#ffbb78,Davi Alves Silva Júnior,MA,428
160639,-9.785204383,-0.5738046043,2.588213338,DEM,#f08080,#5b1058,Professora Dorinha Seabra Rezende,TO,428
160976,2.881125381,-5.073439629,6.432178947,PR,#ffbb78,#ffbb78,Tiririca,SP,428
160974,-3.554427674,-2.237037976,1.323882619,PSD,#660000,#660000,Hugo Napoleão,PI,428
160509,-2.399383838,-1.213910538,1.116762173,PR,#ffbb78,#ffbb78,Jorginho Mello,SC,428
141558,5.179432377,-3.112741789,0.03028701081,PP,#008000,#008000,Waldir Maranhão,MA,428
74421,3.276854994,-2.631572954,-0.1709545212,PR,#ffbb78,#ffbb78,Inocêncio Oliveira,PE,428
74423,0.2453199158,-0.6059071844,-1.410017214,PTB,#9467bd,#154bed,José Chaves,PE,428
74428,-10.79057761,1.080639503,0.7965837296,DEM,#f08080,#5b1058,Mendonça Filho,PE,428
74585,1.906411893,-1.487259096,1.933445182,PR,#ffbb78,#ffbb78,Lincoln Portela,MG,428
74039,2.156656412,-1.085808132,1.883468546,PSB,#90ee90,#90ee90,Sandra Rosado,RN,428
74037,5.319522623,3.989585125,0.9206740958,PT,#d62728,#c8f442,Fátima Bezerra,RN,428
136811,0.6328999936,-4.601761483,0.4762559091,PP,#008000,#008000,Afonso Hamm,RS,428
73447,5.292424652,-7.630812022,0.1686879548,PMDB,#393b79,#393b79,Edinho Araújo,SP,428
160594,6.74103908,4.158574544,-0.4883874246,PT,#d62728,#c8f442,Ronaldo Zulke,RS,428
160597,2.430729042,-0.004141107433,0.9586148143,PSB,#90ee90,#90ee90,Romário,RJ,428
160596,-4.123130044,-2.560240981,2.272087832,PSD,#660000,#660000,Heuler Cruvinel,GO,428
160591,0.6157883345,0.2152449467,-3.087647506,PR,#ffbb78,#ffbb78,Vinicius Gurgel,AP,428
160590,-6.063187462,-2.818857385,2.861386684,PSDB,#1f77b4,#e8105f,Hélio Santos,MA,428
160593,3.372250055,1.886488402,2.134777905,PV,#e377c2,#e377c2,Paulo Wagner,RN,428
160592,6.90608944,2.946552711,-0.6956017896,PT,#d62728,#c8f442,Zeca Dirceu,PR,428
160599,2.862555411,-5.234958181,0.4667228213,PP,#008000,#008000,Dimas Fabiano,MG,428
160598,3.583186457,0.8727871964,3.289156755,PDT,#32cd32,#ed5915,Flávia Morais,GO,428
74784,0.9363375497,2.636550833,4.458401661,PSB,#90ee90,#90ee90,Luiza Erundina,SP,428
74456,-2.834332489,-1.374716151,-0.7794129512,PSD,#660000,#660000,Manoel Salviano,CE,428
74103,6.66212299,3.332830209,2.24117963,PROS,#ffa500,#ffa500,Ariosto Holanda,CE,428
99654,-1.091078623,-2.697510851,-0.002428562446,PSC,#8c564b,#8c564b,Erivelton Santana,BA,428
160659,3.395501055,-2.038934481,5.686639891,PSB,#90ee90,#90ee90,Keiko Ota,SP,428
141509,1.183767468,2.55673679,-3.603065586,PT,#d62728,#c8f442,Miguel Corrêa,MG,428
160652,3.168478074,-3.446761612,-1.70557155,PP,#008000,#008000,Roberto Teixeira,PE,428
160653,0.4349385261,1.181952704,4.745342192,PV,#e377c2,#e377c2,Roberto de Lucena,SP,428
160650,1.307247074,-1.183855967,4.074307142,PDT,#32cd32,#ed5915,Oziel Oliveira,BA,428
160651,3.152316498,-4.321465064,-1.532779999,PMDB,#393b79,#393b79,Rogério Peninha Mendonça,SC,428
160656,-2.537669393,-1.323410137,-0.3225296193,PP,#008000,#008000,Raul Lima,RR,428
160657,8.431985965,3.694055108,0.4254522774,PT,#d62728,#c8f442,Newton Lima,SP,428
160654,1.267935874,-3.972716785,0.1196588037,PP,#008000,#008000,Renzo Braz,MG,428
160655,-1.010874144,-2.987195586,2.429706683,PSD,#660000,#660000,Ricardo Izar,SP,428
116663,-2.7549147,3.052006163,2.52662618,PSB,#90ee90,#90ee90,Alfredo Sirkis,RJ,428
74213,3.360907239,1.958310034,-0.224297107,PROS,#ffa500,#ffa500,Antonio Balhmann,CE,428
4931,-4.921432661,-3.424002637,3.718651886,PSDB,#1f77b4,#e8105f,Izalci,DF,428
141453,2.131468514,-3.992732182,-1.254704829,PMDB,#393b79,#393b79,Íris de Araújo,GO,428
74210,-1.31614728,3.135378444,-1.166190586,PV,#e377c2,#e377c2,Sarney Filho,MA,428
141455,9.134087955,5.277770629,0.975435979,PT,#d62728,#c8f442,Janete Rocha Pietá,SP,428
141454,-9.154238359,1.814812465,-2.982190612,PSDB,#1f77b4,#e8105f,Alfredo Kaefer,PR,428
141459,-0.8671957984,0.5788754373,-2.511976355,PR,#ffbb78,#ffbb78,João Maia,RN,428
74351,0.9876284213,-3.791348042,-1.095715962,PTB,#9467bd,#154bed,Josué Bengtson,PA,428
74356,-1.249086943,-1.382038985,-0.4802090711,PSD,#660000,#660000,Silas Câmara,AM,428
141518,-2.836520142,-1.599670298,0.7290641025,SDD,#ff8c00,#15e2ed,Paulo Pereira da Silva,SP,428
141514,4.958981473,1.805369249,-0.9499910878,PCDOB,#a52121,#a35c3c,Osmar Júnior,PI,428
141515,-8.892437641,3.541516628,0.4993009429,PSDB,#1f77b4,#e8105f,Otavio Leite,RJ,428
141516,-9.521904373,1.653116685,0.03512752091,PSDB,#1f77b4,#e8105f,Paulo Abi-Ackel,MG,428
141450,3.742404169,1.317912295,1.457943357,PROS,#ffa500,#ffa500,Hugo Leal,RJ,428
160542,8.01241673,3.379995865,0.4468808843,PT,#d62728,#c8f442,Márcio Macêdo,SE,428
160543,-1.12086502,-3.76729886,1.465872181,PSC,#8c564b,#8c564b,Andre Moura,SE,428
160540,4.301697864,-2.202159567,5.295545509,PRB,#aaaaaa,#ff5656,Otoniel Lima,SP,428
160547,1.740956437,0.7677008006,-2.837943994,SDD,#ff8c00,#15e2ed,Luiz Argôlo,BA,428
160544,-1.865902145,-4.068663873,2.365525608,PSD,#660000,#660000,Junji Abe,SP,428
160545,-9.715427813,0.04025925985,0.9196224689,DEM,#f08080,#5b1058,Alexandre Leite,SP,428
160549,8.720961434,3.954508648,-0.1540896177,PT,#d62728,#c8f442,João Paulo Lima,PE,428
160595,-10.07894085,2.316840501,1.771771154,PSDB,#1f77b4,#e8105f,Vaz de Lima,SP,428
73553,1.356393495,-3.543689092,-0.8048973516,PTB,#9467bd,#154bed,Nelson Marquezelli,SP,428
74077,0.005442108029,-1.155458132,2.379990729,PDT,#32cd32,#ed5915,Giovanni Queiroz,PA,428
73559,2.766288906,-0.05223227147,2.358452797,PROS,#ffa500,#ffa500,Salvador Zimbaldi,SP,428
76287,2.55381845,0.812893919,2.940293679,PDT,#32cd32,#ed5915,Marcelo Matos,RJ,428
